SUBDIVISION,YEAR,Parameter,ANNUAL
GANGETIC WEST BENGAL,1950,No. of districts,NA
GANGETIC WEST BENGAL,1951,Actual,1214
GANGETIC WEST BENGAL,1951,Percentage departure,-18.5
GANGETIC WEST BENGAL,1951,No. of districts,NA
GANGETIC WEST BENGAL,1952,Actual,1395.7
GANGETIC WEST BENGAL,1952,Percentage departure,-6.3
GANGETIC WEST BENGAL,1952,No. of districts,NA
GANGETIC WEST BENGAL,1953,Actual,1505.8
GANGETIC WEST BENGAL,1953,Percentage departure,1.1
GANGETIC WEST BENGAL,1953,No. of districts,NA
GANGETIC WEST BENGAL,1954,Actual,1080
GANGETIC WEST BENGAL,1954,Percentage departure,-27.5
GANGETIC WEST BENGAL,1954,No. of districts,NA
GANGETIC WEST BENGAL,1955,Actual,1268.2
GANGETIC WEST BENGAL,1955,Percentage departure,-14.9
GANGETIC WEST BENGAL,1955,No. of districts,NA
GANGETIC WEST BENGAL,1956,Actual,1714.2
GANGETIC WEST BENGAL,1956,Percentage departure,15.1
GANGETIC WEST BENGAL,1956,No. of districts,NA
GANGETIC WEST BENGAL,1957,Actual,1130.5
GANGETIC WEST BENGAL,1957,Percentage departure,-24.1
GANGETIC WEST BENGAL,1957,No. of districts,NA
GANGETIC WEST BENGAL,1958,Actual,1151.1
GANGETIC WEST BENGAL,1958,Percentage departure,-22.7
GANGETIC WEST BENGAL,1958,No. of districts,NA
GANGETIC WEST BENGAL,1959,Actual,1812.9
GANGETIC WEST BENGAL,1959,Percentage departure,21.7
GANGETIC WEST BENGAL,1959,No. of districts,NA
GANGETIC WEST BENGAL,1960,Actual,1245.5
GANGETIC WEST BENGAL,1960,Percentage departure,-16.4
GANGETIC WEST BENGAL,1960,No. of districts,NA
GANGETIC WEST BENGAL,1961,Actual,1290.4
GANGETIC WEST BENGAL,1961,Percentage departure,-13.4
GANGETIC WEST BENGAL,1961,No. of districts,NA
GANGETIC WEST BENGAL,1962,Actual,1173.6
GANGETIC WEST BENGAL,1962,Percentage departure,-21.2
GANGETIC WEST BENGAL,1962,No. of districts,NA
GANGETIC WEST BENGAL,1963,Actual,1289.5
GANGETIC WEST BENGAL,1963,Percentage departure,-13.5
GANGETIC WEST BENGAL,1963,No. of districts,NA
GANGETIC WEST BENGAL,1964,Actual,1278.5
GANGETIC WEST BENGAL,1964,Percentage departure,-14.2
GANGETIC WEST BENGAL,1964,No. of districts,NA
GANGETIC WEST BENGAL,1965,Actual,1263.7
GANGETIC WEST BENGAL,1965,Percentage departure,-15.2
GANGETIC WEST BENGAL,1965,No. of districts,NA
GANGETIC WEST BENGAL,1966,Actual,1118.7
GANGETIC WEST BENGAL,1966,Percentage departure,-24.9
GANGETIC WEST BENGAL,1966,No. of districts,NA
GANGETIC WEST BENGAL,1967,Actual,1348.4
GANGETIC WEST BENGAL,1967,Percentage departure,-9.5
GANGETIC WEST BENGAL,1967,No. of districts,NA
GANGETIC WEST BENGAL,1968,Actual,1597.7
GANGETIC WEST BENGAL,1968,Percentage departure,7.2
GANGETIC WEST BENGAL,1968,No. of districts,NA
GANGETIC WEST BENGAL,1969,Actual,1404
GANGETIC WEST BENGAL,1969,Percentage departure,-5.8
GANGETIC WEST BENGAL,1969,No. of districts,NA
GANGETIC WEST BENGAL,1970,Actual,1648.5
GANGETIC WEST BENGAL,1970,Percentage departure,10.6
GANGETIC WEST BENGAL,1970,No. of districts,NA
GANGETIC WEST BENGAL,1971,Actual,2099.8
GANGETIC WEST BENGAL,1971,Percentage departure,40.9
GANGETIC WEST BENGAL,1971,No. of districts,NA
GANGETIC WEST BENGAL,1972,Actual,1333.2
GANGETIC WEST BENGAL,1972,Percentage departure,-10.5
GANGETIC WEST BENGAL,1972,No. of districts,NA
GANGETIC WEST BENGAL,1973,Actual,1735.2
GANGETIC WEST BENGAL,1973,Percentage departure,16.5
GANGETIC WEST BENGAL,1973,No. of districts,NA
GANGETIC WEST BENGAL,1974,Actual,1470.7
GANGETIC WEST BENGAL,1974,Percentage departure,-1.3
GANGETIC WEST BENGAL,1974,No. of districts,NA
GANGETIC WEST BENGAL,1975,Actual,1466.2
GANGETIC WEST BENGAL,1975,Percentage departure,-1.6
GANGETIC WEST BENGAL,1975,No. of districts,NA
GANGETIC WEST BENGAL,1976,Actual,1240.6
GANGETIC WEST BENGAL,1976,Percentage departure,-16.7
GANGETIC WEST BENGAL,1976,No. of districts,NA
GANGETIC WEST BENGAL,1977,Actual,1840.6
GANGETIC WEST BENGAL,1977,Percentage departure,23.5
GANGETIC WEST BENGAL,1977,No. of districts,NA
GANGETIC WEST BENGAL,1978,Actual,1872.5
GANGETIC WEST BENGAL,1978,Percentage departure,25.7
GANGETIC WEST BENGAL,1978,No. of districts,NA
GANGETIC WEST BENGAL,1979,Actual,1157.9
GANGETIC WEST BENGAL,1979,Percentage departure,-22.3
GANGETIC WEST BENGAL,1979,No. of districts,NA
GANGETIC WEST BENGAL,1980,Actual,1521
GANGETIC WEST BENGAL,1980,Percentage departure,2.1
GANGETIC WEST BENGAL,1980,No. of districts,NA
GANGETIC WEST BENGAL,1981,Actual,1909
GANGETIC WEST BENGAL,1981,Percentage departure,28.1
GANGETIC WEST BENGAL,1981,No. of districts,NA
GANGETIC WEST BENGAL,1982,Actual,1111
GANGETIC WEST BENGAL,1982,Percentage departure,-25.4
GANGETIC WEST BENGAL,1982,No. of districts,NA
GANGETIC WEST BENGAL,1983,Actual,1463.6
GANGETIC WEST BENGAL,1983,Percentage departure,-1.8
GANGETIC WEST BENGAL,1983,No. of districts,NA
GANGETIC WEST BENGAL,1984,Actual,1831.7
GANGETIC WEST BENGAL,1984,Percentage departure,22.9
GANGETIC WEST BENGAL,1984,No. of districts,NA
GANGETIC WEST BENGAL,1985,Actual,1413.4
GANGETIC WEST BENGAL,1985,Percentage departure,-5.1
GANGETIC WEST BENGAL,1985,No. of districts,NA
GANGETIC WEST BENGAL,1986,Actual,1791
GANGETIC WEST BENGAL,1986,Percentage departure,20.2
GANGETIC WEST BENGAL,1986,No. of districts,NA
GANGETIC WEST BENGAL,1987,Actual,1591.5
GANGETIC WEST BENGAL,1987,Percentage departure,6.8
GANGETIC WEST BENGAL,1987,No. of districts,NA
GANGETIC WEST BENGAL,1988,Actual,1681.5
GANGETIC WEST BENGAL,1988,Percentage departure,12.9
GANGETIC WEST BENGAL,1988,No. of districts,NA
GANGETIC WEST BENGAL,1989,Actual,1626.3
GANGETIC WEST BENGAL,1989,Percentage departure,9.1
GANGETIC WEST BENGAL,1989,No. of districts,NA
GANGETIC WEST BENGAL,1990,Actual,1961.3
GANGETIC WEST BENGAL,1990,Percentage departure,31.6
GANGETIC WEST BENGAL,1990,No. of districts,NA
GANGETIC WEST BENGAL,1991,Actual,1609.1
GANGETIC WEST BENGAL,1991,Percentage departure,8
GANGETIC WEST BENGAL,1991,No. of districts,NA
GANGETIC WEST BENGAL,1992,Actual,1414.6
GANGETIC WEST BENGAL,1992,Percentage departure,-5.1
GANGETIC WEST BENGAL,1992,No. of districts,NA
GANGETIC WEST BENGAL,1993,Actual,1759.7
GANGETIC WEST BENGAL,1993,Percentage departure,18.1
GANGETIC WEST BENGAL,1993,No. of districts,NA
GANGETIC WEST BENGAL,1994,Actual,1530.8
GANGETIC WEST BENGAL,1994,Percentage departure,2.7
GANGETIC WEST BENGAL,1994,No. of districts,NA
GANGETIC WEST BENGAL,1995,Actual,1936
GANGETIC WEST BENGAL,1995,Percentage departure,29.9
GANGETIC WEST BENGAL,1995,No. of districts,NA
GANGETIC WEST BENGAL,1996,Actual,1504
GANGETIC WEST BENGAL,1996,Percentage departure,0.9
GANGETIC WEST BENGAL,1996,No. of districts,NA
GANGETIC WEST BENGAL,1997,Actual,1657.7
GANGETIC WEST BENGAL,1997,Percentage departure,11.3
GANGETIC WEST BENGAL,1997,No. of districts,NA
GANGETIC WEST BENGAL,1998,Actual,1632.7
GANGETIC WEST BENGAL,1998,Percentage departure,9.6
GANGETIC WEST BENGAL,1998,No. of districts,NA
GANGETIC WEST BENGAL,1999,Actual,1957
GANGETIC WEST BENGAL,1999,Percentage departure,31.3
GANGETIC WEST BENGAL,1999,No. of districts,NA
GANGETIC WEST BENGAL,2000,Actual,1572.1
GANGETIC WEST BENGAL,2000,Percentage departure,5.5
GANGETIC WEST BENGAL,2000,No. of districts,NA
GANGETIC WEST BENGAL,2001,Actual,1540.6
GANGETIC WEST BENGAL,2001,Percentage departure,3.4
GANGETIC WEST BENGAL,2001,No. of districts,NA
GANGETIC WEST BENGAL,2002,Actual,1613.3
GANGETIC WEST BENGAL,2002,Percentage departure,8.3
GANGETIC WEST BENGAL,2002,No. of districts,NA
GANGETIC WEST BENGAL,2003,Actual,1496.7
GANGETIC WEST BENGAL,2003,Percentage departure,0.5
GANGETIC WEST BENGAL,2003,No. of districts,NA
GANGETIC WEST BENGAL,2004,Actual,1569.4
GANGETIC WEST BENGAL,2004,Percentage departure,5.3
GANGETIC WEST BENGAL,2004,No. of districts,NA
GANGETIC WEST BENGAL,2005,Actual,1604.9
GANGETIC WEST BENGAL,2005,Percentage departure,7.7
GANGETIC WEST BENGAL,2005,No. of districts,NA
GANGETIC WEST BENGAL,2006,Actual,1660.5
GANGETIC WEST BENGAL,2006,Percentage departure,11.4
GANGETIC WEST BENGAL,2006,No. of districts,NA
GANGETIC WEST BENGAL,2007,Actual,1941.4
GANGETIC WEST BENGAL,2007,Percentage departure,30.3
GANGETIC WEST BENGAL,2007,No. of districts,NA
GANGETIC WEST BENGAL,2008,Actual,1555.2
GANGETIC WEST BENGAL,2008,Percentage departure,4.4
GANGETIC WEST BENGAL,2008,No. of districts,NA
GANGETIC WEST BENGAL,2009,Actual,1315
GANGETIC WEST BENGAL,2009,Percentage departure,-11.7
GANGETIC WEST BENGAL,2009,No. of districts,NA
GANGETIC WEST BENGAL,2010,Actual,1064.8
GANGETIC WEST BENGAL,2010,Percentage departure,-28.5
GANGETIC WEST BENGAL,2010,No. of districts,NA
GANGETIC WEST BENGAL,2011,Actual,1686.5
GANGETIC WEST BENGAL,2011,Percentage departure,13.2
GANGETIC WEST BENGAL,2011,No. of districts,NA
GANGETIC WEST BENGAL,2012,Actual,1268
GANGETIC WEST BENGAL,2012,Percentage departure,-14.9
GANGETIC WEST BENGAL,2012,No. of districts,NA
GANGETIC WEST BENGAL,2013,Actual,1764.1
GANGETIC WEST BENGAL,2013,Percentage departure,18.4
GANGETIC WEST BENGAL,2013,No. of districts,NA
GANGETIC WEST BENGAL,2014,Actual,1261.4
GANGETIC WEST BENGAL,2014,Percentage departure,-15.3
GANGETIC WEST BENGAL,2014,No. of districts,NA
GANGETIC WEST BENGAL,2015,Actual,1530.3
GANGETIC WEST BENGAL,2015,Percentage departure,2.7
GANGETIC WEST BENGAL,2015,No. of districts,NA
GUJARAT REGION,1901,Mean,923.1
GUJARAT REGION,1901,Standard deviation,281.2
GUJARAT REGION,1901,Coefficient of variation,30.5
GUJARAT REGION,1901,Actual,554.3
GUJARAT REGION,1901,Percentage departure,-40
GUJARAT REGION,1901,No. of districts,NA
GUJARAT REGION,1902,Actual,863.9
GUJARAT REGION,1902,Percentage departure,-6.4
GUJARAT REGION,1902,No. of districts,NA
GUJARAT REGION,1903,Actual,887.6
GUJARAT REGION,1903,Percentage departure,-3.9
GUJARAT REGION,1903,No. of districts,NA
GUJARAT REGION,1904,Actual,492.6
GUJARAT REGION,1904,Percentage departure,-46.6
GUJARAT REGION,1904,No. of districts,NA
GUJARAT REGION,1905,Actual,811.5
GUJARAT REGION,1905,Percentage departure,-12.1
GUJARAT REGION,1905,No. of districts,NA
GUJARAT REGION,1906,Actual,890.6
GUJARAT REGION,1906,Percentage departure,-3.5
GUJARAT REGION,1906,No. of districts,NA
GUJARAT REGION,1907,Actual,997
GUJARAT REGION,1907,Percentage departure,8
GUJARAT REGION,1907,No. of districts,NA
GUJARAT REGION,1908,Actual,1027.5
GUJARAT REGION,1908,Percentage departure,11.3
GUJARAT REGION,1908,No. of districts,NA
GUJARAT REGION,1909,Actual,977.8
GUJARAT REGION,1909,Percentage departure,5.9
GUJARAT REGION,1909,No. of districts,NA
GUJARAT REGION,1910,Actual,974.6
GUJARAT REGION,1910,Percentage departure,5.6
GUJARAT REGION,1910,No. of districts,NA
GUJARAT REGION,1911,Actual,403.5
GUJARAT REGION,1911,Percentage departure,-56.3
GUJARAT REGION,1911,No. of districts,NA
GUJARAT REGION,1912,Actual,1118.5
GUJARAT REGION,1912,Percentage departure,21.2
GUJARAT REGION,1912,No. of districts,NA
GUJARAT REGION,1913,Actual,1162.6
GUJARAT REGION,1913,Percentage departure,25.9
GUJARAT REGION,1913,No. of districts,NA
GUJARAT REGION,1914,Actual,1107.5
GUJARAT REGION,1914,Percentage departure,20
GUJARAT REGION,1914,No. of districts,NA
GUJARAT REGION,1915,Actual,567.3
GUJARAT REGION,1915,Percentage departure,-38.5
GUJARAT REGION,1915,No. of districts,NA
GUJARAT REGION,1916,Actual,952.9
GUJARAT REGION,1916,Percentage departure,3.2
GUJARAT REGION,1916,No. of districts,NA
GUJARAT REGION,1917,Actual,1524.9
GUJARAT REGION,1917,Percentage departure,65.2
GUJARAT REGION,1917,No. of districts,NA
GUJARAT REGION,1918,Actual,392.6
GUJARAT REGION,1918,Percentage departure,-57.5
GUJARAT REGION,1918,No. of districts,NA
GUJARAT REGION,1919,Actual,1067.4
GUJARAT REGION,1919,Percentage departure,15.6
GUJARAT REGION,1919,No. of districts,NA
GUJARAT REGION,1920,Actual,708.9
GUJARAT REGION,1920,Percentage departure,-23.2
GUJARAT REGION,1920,No. of districts,NA
GUJARAT REGION,1921,Actual,1172.8
GUJARAT REGION,1921,Percentage departure,27
GUJARAT REGION,1921,No. of districts,NA
GUJARAT REGION,1922,Actual,878.7
GUJARAT REGION,1922,Percentage departure,-4.8
GUJARAT REGION,1922,No. of districts,NA
GUJARAT REGION,1923,Actual,553.2
GUJARAT REGION,1923,Percentage departure,-40.1
GUJARAT REGION,1923,No. of districts,NA
GUJARAT REGION,1924,Actual,909.6
GUJARAT REGION,1924,Percentage departure,-1.5
GUJARAT REGION,1924,No. of districts,NA
GUJARAT REGION,1925,Actual,593.1
GUJARAT REGION,1925,Percentage departure,-35.8
GUJARAT REGION,1925,No. of districts,NA
GUJARAT REGION,1926,Actual,1274.5
GUJARAT REGION,1926,Percentage departure,38.1
GUJARAT REGION,1926,No. of districts,NA
GUJARAT REGION,1927,Actual,1422.1
GUJARAT REGION,1927,Percentage departure,54.1
GUJARAT REGION,1927,No. of districts,NA
GUJARAT REGION,1928,Actual,821
GUJARAT REGION,1928,Percentage departure,-11.1
GUJARAT REGION,1928,No. of districts,NA
GUJARAT REGION,1929,Actual,676.3
GUJARAT REGION,1929,Percentage departure,-26.7
GUJARAT REGION,1929,No. of districts,NA
GUJARAT REGION,1930,Actual,894.7
GUJARAT REGION,1930,Percentage departure,-3.1
GUJARAT REGION,1930,No. of districts,NA
GUJARAT REGION,1931,Actual,1104.6
GUJARAT REGION,1931,Percentage departure,19.7
GUJARAT REGION,1931,No. of districts,NA
GUJARAT REGION,1932,Actual,906.6
GUJARAT REGION,1932,Percentage departure,-1.8
GUJARAT REGION,1932,No. of districts,NA
GUJARAT REGION,1933,Actual,1137.1
GUJARAT REGION,1933,Percentage departure,23.2
GUJARAT REGION,1933,No. of districts,NA
GUJARAT REGION,1934,Actual,979.6
GUJARAT REGION,1934,Percentage departure,6.1
GUJARAT REGION,1934,No. of districts,NA
GUJARAT REGION,1935,Actual,756.9
GUJARAT REGION,1935,Percentage departure,-18
GUJARAT REGION,1935,No. of districts,NA
GUJARAT REGION,1936,Actual,609.3
GUJARAT REGION,1936,Percentage departure,-34
GUJARAT REGION,1936,No. of districts,NA
GUJARAT REGION,1937,Actual,1203.1
GUJARAT REGION,1937,Percentage departure,30.3
GUJARAT REGION,1937,No. of districts,NA
GUJARAT REGION,1938,Actual,814.9
GUJARAT REGION,1938,Percentage departure,-11.7
GUJARAT REGION,1938,No. of districts,NA
GUJARAT REGION,1939,Actual,605.6
GUJARAT REGION,1939,Percentage departure,-34.4
GUJARAT REGION,1939,No. of districts,NA
GUJARAT REGION,1940,Actual,870.1
GUJARAT REGION,1940,Percentage departure,-5.7
GUJARAT REGION,1940,No. of districts,NA
GUJARAT REGION,1941,Actual,961.8
GUJARAT REGION,1941,Percentage departure,4.2
GUJARAT REGION,1941,No. of districts,NA
GUJARAT REGION,1942,Actual,1186.8
GUJARAT REGION,1942,Percentage departure,28.6
GUJARAT REGION,1942,No. of districts,NA
GUJARAT REGION,1943,Actual,912.8
GUJARAT REGION,1943,Percentage departure,-1.1
GUJARAT REGION,1943,No. of districts,NA
GUJARAT REGION,1944,Actual,1340.6
GUJARAT REGION,1944,Percentage departure,45.2
GUJARAT REGION,1944,No. of districts,NA
GUJARAT REGION,1945,Actual,1277
GUJARAT REGION,1945,Percentage departure,38.3
GUJARAT REGION,1945,No. of districts,NA
GUJARAT REGION,1946,Actual,1147.7
GUJARAT REGION,1946,Percentage departure,24.3
GUJARAT REGION,1946,No. of districts,NA
GUJARAT REGION,1947,Actual,783.4
GUJARAT REGION,1947,Percentage departure,-15.1
GUJARAT REGION,1947,No. of districts,NA
GUJARAT REGION,1948,Actual,473.9
GUJARAT REGION,1948,Percentage departure,-48.7
GUJARAT REGION,1948,No. of districts,NA
GUJARAT REGION,1949,Actual,800.3
GUJARAT REGION,1949,Percentage departure,-13.3
GUJARAT REGION,1949,No. of districts,NA
GUJARAT REGION,1950,Actual,1129.3
GUJARAT REGION,1950,Percentage departure,22.3
GUJARAT REGION,1950,No. of districts,NA
GUJARAT REGION,1951,Actual,478.3
GUJARAT REGION,1951,Percentage departure,-48.2
GUJARAT REGION,1951,No. of districts,NA
GUJARAT REGION,1952,Actual,776.6
GUJARAT REGION,1952,Percentage departure,-15.9
GUJARAT REGION,1952,No. of districts,NA
GUJARAT REGION,1953,Actual,1055.5
GUJARAT REGION,1953,Percentage departure,14.3
GUJARAT REGION,1953,No. of districts,NA
GUJARAT REGION,1954,Actual,1248
GUJARAT REGION,1954,Percentage departure,35.2
GUJARAT REGION,1954,No. of districts,NA
GUJARAT REGION,1955,Actual,975.7
GUJARAT REGION,1955,Percentage departure,5.7
GUJARAT REGION,1955,No. of districts,NA
GUJARAT REGION,1956,Actual,1366.6
GUJARAT REGION,1956,Percentage departure,48
GUJARAT REGION,1956,No. of districts,NA
GUJARAT REGION,1957,Actual,647.8
GUJARAT REGION,1957,Percentage departure,-29.8
GUJARAT REGION,1957,No. of districts,NA
GUJARAT REGION,1958,Actual,1123.1
GUJARAT REGION,1958,Percentage departure,21.7
GUJARAT REGION,1958,No. of districts,NA
GUJARAT REGION,1959,Actual,1560.7
GUJARAT REGION,1959,Percentage departure,69.1
GUJARAT REGION,1959,No. of districts,NA
GUJARAT REGION,1960,Actual,649.6
GUJARAT REGION,1960,Percentage departure,-29.6
GUJARAT REGION,1960,No. of districts,NA
GUJARAT REGION,1961,Actual,945.1
GUJARAT REGION,1961,Percentage departure,2.4
GUJARAT REGION,1961,No. of districts,NA
GUJARAT REGION,1962,Actual,773
GUJARAT REGION,1962,Percentage departure,-16.3
GUJARAT REGION,1962,No. of districts,NA
GUJARAT REGION,1963,Actual,997.9
GUJARAT REGION,1963,Percentage departure,8.1
GUJARAT REGION,1963,No. of districts,NA
GUJARAT REGION,1964,Actual,892.7
GUJARAT REGION,1964,Percentage departure,-3.3
GUJARAT REGION,1964,No. of districts,NA
GUJARAT REGION,1965,Actual,656.7
GUJARAT REGION,1965,Percentage departure,-28.9
GUJARAT REGION,1965,No. of districts,NA
GUJARAT REGION,1966,Actual,696.7
GUJARAT REGION,1966,Percentage departure,-24.5
GUJARAT REGION,1966,No. of districts,NA
GUJARAT REGION,1967,Actual,938.7
GUJARAT REGION,1967,Percentage departure,1.7
GUJARAT REGION,1967,No. of districts,NA
GUJARAT REGION,1968,Actual,668
GUJARAT REGION,1968,Percentage departure,-27.6
GUJARAT REGION,1968,No. of districts,NA
GUJARAT REGION,1969,Actual,789
GUJARAT REGION,1969,Percentage departure,-14.5
GUJARAT REGION,1969,No. of districts,NA
GUJARAT REGION,1970,Actual,1353.8
GUJARAT REGION,1970,Percentage departure,46.7
GUJARAT REGION,1970,No. of districts,NA
GUJARAT REGION,1971,Actual,769.2
GUJARAT REGION,1971,Percentage departure,-16.7
GUJARAT REGION,1971,No. of districts,NA
GUJARAT REGION,1972,Actual,503.8
GUJARAT REGION,1972,Percentage departure,-45.4
GUJARAT REGION,1972,No. of districts,NA
GUJARAT REGION,1973,Actual,1159.6
GUJARAT REGION,1973,Percentage departure,25.6
GUJARAT REGION,1973,No. of districts,NA
GUJARAT REGION,1974,Actual,421.3
GUJARAT REGION,1974,Percentage departure,-54.4
GUJARAT REGION,1974,No. of districts,NA
GUJARAT REGION,1975,Actual,1192.7
GUJARAT REGION,1975,Percentage departure,29.2
GUJARAT REGION,1975,No. of districts,NA
GUJARAT REGION,1976,Actual,1620.1
GUJARAT REGION,1976,Percentage departure,75.5
GUJARAT REGION,1976,No. of districts,NA
GUJARAT REGION,1977,Actual,1307.7
GUJARAT REGION,1977,Percentage departure,41.7
GUJARAT REGION,1977,No. of districts,NA
GUJARAT REGION,1978,Actual,935.8
GUJARAT REGION,1978,Percentage departure,1.4
GUJARAT REGION,1978,No. of districts,NA
GUJARAT REGION,1979,Actual,904.5
GUJARAT REGION,1979,Percentage departure,-2
GUJARAT REGION,1979,No. of districts,NA
GUJARAT REGION,1980,Actual,822
GUJARAT REGION,1980,Percentage departure,-11
GUJARAT REGION,1980,No. of districts,NA
GUJARAT REGION,1981,Actual,1114.2
GUJARAT REGION,1981,Percentage departure,20.7
GUJARAT REGION,1981,No. of districts,NA
GUJARAT REGION,1982,Actual,758.3
GUJARAT REGION,1982,Percentage departure,-17.9
GUJARAT REGION,1982,No. of districts,NA
GUJARAT REGION,1983,Actual,1213.9
GUJARAT REGION,1983,Percentage departure,31.5
GUJARAT REGION,1983,No. of districts,NA
GUJARAT REGION,1984,Actual,853.6
GUJARAT REGION,1984,Percentage departure,-7.5
GUJARAT REGION,1984,No. of districts,NA
GUJARAT REGION,1985,Actual,589.7
GUJARAT REGION,1985,Percentage departure,-36.1
GUJARAT REGION,1985,No. of districts,NA
GUJARAT REGION,1986,Actual,501.8
GUJARAT REGION,1986,Percentage departure,-45.6
GUJARAT REGION,1986,No. of districts,NA
GUJARAT REGION,1987,Actual,401.9
GUJARAT REGION,1987,Percentage departure,-56.5
GUJARAT REGION,1987,No. of districts,NA
GUJARAT REGION,1988,Actual,1097.4
GUJARAT REGION,1988,Percentage departure,18.9
GUJARAT REGION,1988,No. of districts,NA
GUJARAT REGION,1989,Actual,822.8
GUJARAT REGION,1989,Percentage departure,-10.9
GUJARAT REGION,1989,No. of districts,NA
GUJARAT REGION,1990,Actual,1118.4
GUJARAT REGION,1990,Percentage departure,21.1
GUJARAT REGION,1990,No. of districts,NA
GUJARAT REGION,1991,Actual,672.7
GUJARAT REGION,1991,Percentage departure,-27.1
GUJARAT REGION,1991,No. of districts,NA
GUJARAT REGION,1992,Actual,901.1
GUJARAT REGION,1992,Percentage departure,-2.4
GUJARAT REGION,1992,No. of districts,NA
GUJARAT REGION,1993,Actual,941.4
GUJARAT REGION,1993,Percentage departure,2
GUJARAT REGION,1993,No. of districts,NA
GUJARAT REGION,1994,Actual,1534.5
GUJARAT REGION,1994,Percentage departure,66.2
GUJARAT REGION,1994,No. of districts,NA
GUJARAT REGION,1995,Actual,684.3
GUJARAT REGION,1995,Percentage departure,-25.9
GUJARAT REGION,1995,No. of districts,NA
GUJARAT REGION,1996,Actual,902.8
GUJARAT REGION,1996,Percentage departure,-2.2
GUJARAT REGION,1996,No. of districts,NA
GUJARAT REGION,1997,Actual,1068.9
GUJARAT REGION,1997,Percentage departure,15.8
GUJARAT REGION,1997,No. of districts,NA
GUJARAT REGION,1998,Actual,1070
GUJARAT REGION,1998,Percentage departure,15.9
GUJARAT REGION,1998,No. of districts,NA
GUJARAT REGION,1999,Actual,568.4
GUJARAT REGION,1999,Percentage departure,-38.4
GUJARAT REGION,1999,No. of districts,NA
GUJARAT REGION,2000,Actual,550.6
GUJARAT REGION,2000,Percentage departure,-40.4
GUJARAT REGION,2000,No. of districts,NA
GUJARAT REGION,2001,Actual,849
GUJARAT REGION,2001,Percentage departure,-8
GUJARAT REGION,2001,No. of districts,NA
GUJARAT REGION,2002,Actual,637.2
GUJARAT REGION,2002,Percentage departure,-31
GUJARAT REGION,2002,No. of districts,NA
GUJARAT REGION,2003,Actual,1160.3
GUJARAT REGION,2003,Percentage departure,25.7
GUJARAT REGION,2003,No. of districts,NA
GUJARAT REGION,2004,Actual,1005.8
GUJARAT REGION,2004,Percentage departure,9
GUJARAT REGION,2004,No. of districts,NA
GUJARAT REGION,2005,Actual,1316.4
GUJARAT REGION,2005,Percentage departure,42.6
GUJARAT REGION,2005,No. of districts,NA
GUJARAT REGION,2006,Actual,1478
GUJARAT REGION,2006,Percentage departure,60.1
GUJARAT REGION,2006,No. of districts,NA
GUJARAT REGION,2007,Actual,1178.9
GUJARAT REGION,2007,Percentage departure,27.7
GUJARAT REGION,2007,No. of districts,NA
GUJARAT REGION,2008,Actual,911.1
GUJARAT REGION,2008,Percentage departure,-1.3
GUJARAT REGION,2008,No. of districts,NA
GUJARAT REGION,2009,Actual,641.6
GUJARAT REGION,2009,Percentage departure,-30.5
GUJARAT REGION,2009,No. of districts,NA
GUJARAT REGION,2010,Actual,1088.7
GUJARAT REGION,2010,Percentage departure,17.9
GUJARAT REGION,2010,No. of districts,NA
GUJARAT REGION,2011,Actual,890.5
GUJARAT REGION,2011,Percentage departure,-3.5
GUJARAT REGION,2011,No. of districts,NA
GUJARAT REGION,2012,Actual,714
GUJARAT REGION,2012,Percentage departure,-22.7
GUJARAT REGION,2012,No. of districts,NA
GUJARAT REGION,2013,Actual,1118.6
GUJARAT REGION,2013,Percentage departure,21.2
GUJARAT REGION,2013,No. of districts,NA
GUJARAT REGION,2014,Actual,705.7
GUJARAT REGION,2014,Percentage departure,-23.6
GUJARAT REGION,2014,No. of districts,NA
GUJARAT REGION,2015,Actual,622.9
GUJARAT REGION,2015,Percentage departure,-32.5
GUJARAT REGION,2015,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1901,Mean,535.5
HARYANA DELHI & CHANDIGARH,1901,Standard deviation,142.6
HARYANA DELHI & CHANDIGARH,1901,Coefficient of variation,26.6
HARYANA DELHI & CHANDIGARH,1901,Actual,390.1
HARYANA DELHI & CHANDIGARH,1901,Percentage departure,-27.1
HARYANA DELHI & CHANDIGARH,1901,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1902,Actual,419.8
HARYANA DELHI & CHANDIGARH,1902,Percentage departure,-21.6
HARYANA DELHI & CHANDIGARH,1902,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1903,Actual,428.9
HARYANA DELHI & CHANDIGARH,1903,Percentage departure,-19.9
HARYANA DELHI & CHANDIGARH,1903,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1904,Actual,527.8
HARYANA DELHI & CHANDIGARH,1904,Percentage departure,-1.4
HARYANA DELHI & CHANDIGARH,1904,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1905,Actual,322.9
HARYANA DELHI & CHANDIGARH,1905,Percentage departure,-39.7
HARYANA DELHI & CHANDIGARH,1905,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1906,Actual,593.6
HARYANA DELHI & CHANDIGARH,1906,Percentage departure,10.9
HARYANA DELHI & CHANDIGARH,1906,No. of districts,NA
HARYANA DELHI & CHANDIGARH,1907,Actual,443.9
